country,name,alpha_two_code,web_pages,state-province,domains
Pakistan,"Information Technology University, Lahore",PK,['https://itu.edu.pk/'],Punjab,['itu.edu.pk']
Pakistan,Abasyn University Peshawar,PK,['http://www.abasyn.edu.pk/'],Khyber Pakhtunkhwa,['abasyn.edu.pk']
Pakistan,Allama Iqbal Open University,PK,['http://www.aiou.edu.pk/'],,['aiou.edu.pk']
Pakistan,Azad Jammu and Kashmir University,PK,['http://www.ajku.edu.pk/'],,['ajku.edu.pk']
Pakistan,Aga Khan University,PK,['http://www.aku.edu/'],Sindh,['aku.edu']
Pakistan,Jamia Al Dirasat Ul Islami Karachi,PK,['http://www.aldirasat.edu.pk/'],Sindh,['aldirasat.edu.pk']
Pakistan,Al-Khair University,PK,['http://www.alkhair.edu.pk/'],,['alkhair.edu.pk']
Pakistan,Ahmed Medical Institute,PK,['http://www.ami.edu.pk/'],Khyber Pakhtunkhwa,['ami.edu.pk']
Pakistan,Air University,PK,['http://www.au.edu.pk/'],Panjab,['au.edu.pk']
Pakistan,"The University of Agriculture, Peshawar",PK,['http://www.aup.edu.pk/'],Khyber Pakhtunkhwa,['aup.edu.pk']
Pakistan,Bahria University,PK,['http://www.bahria.edu.pk/'],Panjab,['bahria.edu.pk']
Pakistan,Barani Institute of Information Technology,PK,['http://www.biit.edu.pk/'],Panjab,['biit.edu.pk']
Pakistan,Barani Institute of Management Sciences,PK,['http://www.bims.edu.pk/'],Panjab,['bims.edu.pk']
Pakistan,Baqai Medical University,PK,['https://baqai.edu.pk/'],Sindh,['baqai.edu.pk']
Pakistan,Balochistan University of Engineering and Technology Khuzdar,PK,['http://www.buetk.edu.pk/'],Balochistan,['buetk.edu.pk']
Pakistan,Balochistan University of Information Technology & Management Sciences,PK,['http://www.buitms.edu.pk/'],Balochistan,['buitms.edu.pk']
Pakistan,"Bahauddin Zakariya University, Multan",PK,['http://www.bzu.edu.pk/'],Panjab,['bzu.edu.pk']
Pakistan,Capital University of Science & Technology,PK,['https://cust.edu.pk/'],Islamabad,['cust.edu.pk']
Pakistan,College of Business Management (CBM),PK,['https://cbm.iobm.edu.pk/'],Sindh,['cbm.iobm.edu.pk']
Pakistan,Cecos Univeristy of Information Technology,PK,['http://www.cecos.edu.pk/'],Khyber Pakhtunkhwa,['cecos.edu.pk']
Pakistan,"COMSATS Institute of Information Technology, Abbottabad",PK,['http://www.ciit-atd.edu.pk/'],Khyber Pakhtunkhwa,['ciit-atd.edu.pk']
Pakistan,"COMSATS Institute of Information Technology, Attock",PK,['http://www.ciit-attock.edu.pk/'],Panjab,['ciit-attock.edu.pk']
Pakistan,COMSATS Institute of Information Technology,PK,['http://www.ciit.edu.pk/'],,['ciit.edu.pk']
Pakistan,"COMSATS Institute of Information Technology, Lahore",PK,['http://www.ciitlahore.edu.pk/'],Panjab,['ciitlahore.edu.pk']
Pakistan,"COMSATS Institute of Information Technology, Wah",PK,['http://www.ciit-wah.edu.pk/'],,['ciit-wah.edu.pk']
Pakistan,COSMIQ Institute of Technology,PK,['http://www.cosmiq.edu.pk/'],,['cosmiq.edu.pk']
Pakistan,Dadabhoy Institute of Higher Education,PK,['http://www.dadabhoy.edu.pk/'],Sindh,['dadabhoy.edu.pk']
Pakistan,Dawood College of Engineering and Technology,PK,['http://www.dcet.edu.pk/'],Sindh,['dcet.edu.pk']
Pakistan,Dow University of Health Sciences,PK,['http://www.duhs.edu.pk/'],Sindh,['duhs.edu.pk']
Pakistan,Faisalabad Institute of Textile and Fashion Design,PK,['http://www.fitfd.edu.pk/'],,['fitfd.edu.pk']
Pakistan,"Federal Urdu University of Arts,Science and Technology",PK,['http://www.fuuast.edu.pk/'],,['fuuast.edu.pk']
Pakistan,Shaheed Benazir Bhutto Women University,PK,['http://www.fwu.edu.pk/'],,['fwu.edu.pk']
Pakistan,Gandhara Institute of Medical Sciences,PK,['http://www.gandhara.edu.pk/'],,['gandhara.edu.pk']
Pakistan,Government College University Lahore,PK,['http://www.gcu.edu.pk/'],,['gcu.edu.pk']
Pakistan,Government College University Faisalabad,PK,['http://www.gcuf.edu.pk/'],,['gcuf.edu.pk']
Pakistan,University of Balochistan,PK,['http://www.uob.edu.pk'],,['uob.edu.pk']
Pakistan,Zia-ud-Din University,PK,['https://zu.edu.pk/'],,['zu.edu.pk']
Pakistan,Gift University,PK,['http://www.gift.edu.pk/'],,['gift.edu.pk']
Pakistan,Ghulam Ishaq Khan Institute of Science & Technology,PK,['http://www.giki.edu.pk/'],,['giki.edu.pk']
Pakistan,Gangdara Institute Of Science & Technology,PK,['http://www.gist.edu.pk/'],,['gist.edu.pk']
Pakistan,The Global College Lahore,PK,['http://www.global.edu.pk/'],,['global.edu.pk']
Pakistan,Gomal University,PK,['http://www.gu.edu.pk/'],,['gu.edu.pk']
Pakistan,Greenwich University,PK,['http://www.guic.edu.pk/'],,['guic.edu.pk']
Pakistan,Hajvery University Lahore for Women,PK,['http://www.hajvery.edu.pk/'],,['hajvery.edu.pk']
Pakistan,Hamdard University,PK,['http://www.hamdard.edu.pk/'],,"['hamdard.edu.pk', 'hamdard.edu']"
Pakistan,Hitec University,PK,['http://www.hitecuni.edu.pk/'],,['hitecuni.edu.pk']
Pakistan,Hazara University,PK,['http://www.hu.edu.pk/'],,['hu.edu.pk']
Pakistan,Institute of Business Administration (IBA),PK,['http://www.iba.edu.pk/'],,['iba.edu.pk']
Pakistan,Institute of Business Administration Sukkur,PK,['http://www.iba-suk.edu.pk/'],,['iba-suk.edu.pk']
Pakistan,Institute of Industrial Electronics Engineering,PK,['http://www.iiee.edu.pk/'],,['iiee.edu.pk']
Pakistan,International Islamic University,PK,['http://www.iiu.edu.pk/'],,['iiu.edu.pk']
Pakistan,"Institute of Management Sciences, Peshawar",PK,['http://www.imsciences.edu.pk/'],,['imsciences.edu.pk']
Pakistan,Iqra University,PK,['http://www.iqra.edu.pk/'],,['iqra.edu.pk']
Pakistan,Isra University,PK,['http://www.isra.edu.pk/'],,['isra.edu.pk']
Pakistan,Institute of Space Technology,PK,['http://www.ist.edu.pk/'],,['ist.edu.pk']
Pakistan,Islamia University of Bahawalpur,PK,['http://www.iub.edu.pk/'],,['iub.edu.pk']
Pakistan,"Mohammad Ali Jinnah University, Karachi",PK,['http://www.jinnah.edu/'],,['jinnah.edu']
Pakistan,Mohammad Ali Jinnah University,PK,['http://www.jinnah.edu.pk/'],,['jinnah.edu.pk']
Pakistan,Jinnah University for Women,PK,['http://www.juw.edu.pk/'],,['juw.edu.pk']
Pakistan,KASB Institute of Technology,PK,['http://www.kasbit.edu.pk/'],,['kasbit.edu.pk']
Pakistan,Karachi Institute of Information Technology,PK,['http://www.kiit.edu.pk/'],,['kiit.edu.pk']
Pakistan,Karakoram International University,PK,['http://www.kiu.edu.pk/'],,['kiu.edu.pk']
Pakistan,Karachi Medical and Dental College,PK,['http://www.kmdc.edu.pk/'],,['kmdc.edu.pk']
Pakistan,Karachi School of Art,PK,['http://www.ksa.edu.pk/'],Sindh,['ksa.edu.pk']
Pakistan,Kohat University of Science and Technology (KUST),PK,['http://www.kust.edu.pk/'],Khyber Pakhtunkhwa,['kust.edu.pk']
Pakistan,Lahore College for Women University,PK,['http://www.lcwu.edu.pk/'],Panjab,['lcwu.edu.pk']
Pakistan,Liaquat University of Medical & Health Sciences Jamshoro,PK,['http://www.lumhs.edu.pk/'],,['lumhs.edu.pk']
Pakistan,Lahore University of Management Sciences,PK,['http://www.lums.edu.pk/'],Panjab,['lums.edu.pk']
Pakistan,Mohi-ud-Din Islamic University,PK,['http://www.miu.edu.pk/'],,['miu.edu.pk']
Pakistan,Mooreland University,PK,['http://www.moorelanduniversity.com/'],,['moorelanduniversity.com']
Pakistan,Mehran University of Engineering & Technology,PK,['http://www.muet.edu.pk/'],,['muet.edu.pk']
Pakistan,Minhaj University Lahore,PK,['http://www.mul.edu.pk/'],Panjab,['mul.edu.pk']
Pakistan,National College of Arts,PK,['http://www.nca.edu.pk/'],,['nca.edu.pk']
Pakistan,NED University of Engineering and Technology Karachi,PK,['http://www.neduet.edu.pk/'],Sindh,['neduet.edu.pk']
Pakistan,DHA Suffa Uinversity,PK,['https://www.dsu.edu.pk/'],Sindh,['dsu.edu.pk']
Pakistan,Sindh Madressatul Islam University,PK,['https://www.smiu.edu.pk/'],Sindh,['smiu.edu.pk']
Pakistan,Indus University,PK,['https://www.indus.edu.pk/'],Sindh,['indus.edu.pk']
Pakistan,Newports Institute of Communication & Economics,PK,['http://www.newports.edu.pk/'],,['newports.edu.pk']
Pakistan,Nuclear Institute for Agriculture and Biology (NIAB),PK,['http://www.niab.org.pk/'],,['niab.org.pk']
Pakistan,FAST - National University of Computer and Emerging Sciences (NUCES),PK,['http://www.nu.edu.pk/'],,['nu.edu.pk']
Pakistan,National University of Modern Languages,PK,['http://www.numl.edu.pk/'],,['numl.edu.pk']
Pakistan,National University of Science and Technology,PK,['http://www.nust.edu.pk/'],,['nust.edu.pk']
Pakistan,University of Engineering and Technology Peshawar,PK,['http://www.nwfpuet.edu.pk/'],Khyber Pakhtunkhwa,['nwfpuet.edu.pk']
Pakistan,Karachi Institute Of Economics And Technology,PK,['http://www.pafkiet.edu.pk/'],Sindh,['pafkiet.edu.pk']
Pakistan,Pak-AIMS (American Institute of Management Sciences),PK,['http://www.pakaims.edu/'],,['pakaims.edu']
Pakistan,"Institute of Management Sciences, Lahore (IMS)",PK,['http://www.pakaims.edu.pk/'],Panjab,['pakaims.edu.pk']
Pakistan,Hahnamann Honoeopathic Medical College,PK,['http://www.pakistanhomoeopathy.com/'],,['pakistanhomoeopathy.com']
Pakistan,Qauid-e-Awam University of Engineering Sciences & Technology,PK,['https://quest.edu.pk/'],,['quest.edu.pk']
Pakistan,Pyramid Education Center,PK,['http://www.pedu.edu.pk/'],,['pedu.edu.pk']
Pakistan,Punjab Institute of Computer science,PK,['http://www.pics.edu.pk/'],Panjab,['pics.edu.pk']
Pakistan,Pakistan Institute of Engineering and Applied Sciences (PIEAS),PK,['http://www.pieas.edu.pk/'],,['pieas.edu.pk']
Pakistan,Preston Institute of Management Sciences and Technology (PIMSAT),PK,['http://www.pimsat-khi.edu.pk/'],Sindh,['pimsat-khi.edu.pk']
Pakistan,Planwel University,PK,['http://www.planwel.edu/'],,['planwel.edu']
Pakistan,"Preston University, Pakistan Campus",PK,['http://www.prestonpak.edu.pk/'],,['prestonpak.edu.pk']
Pakistan,Punjab University College of Information Tecnology,PK,['http://www.pucit.edu.pk/'],Panjab,['pucit.edu.pk']
Pakistan,University of the Punjab,PK,['http://www.pu.edu.pk/'],Panjab,['pu.edu.pk']
Pakistan,"University of the Punjab, Gujranwala Campus",PK,['http://www.pugc.edu.pk/'],Panjab,['pugc.edu.pk']
Pakistan,Quaid-i-Azam University,PK,['http://www.qau.edu.pk/'],,['qau.edu.pk']
Pakistan,Qurtuba University of Science and Infromation Technology,PK,['http://www.qurtuba.edu.pk/'],,['qurtuba.edu.pk']
Pakistan,Riphah International Univeristy,PK,['http://www.riphah.edu.pk/'],,['riphah.edu.pk']
Pakistan,Shah Abdul Latif University Khairpur,PK,['http://www.salu.edu.pk/'],,['salu.edu.pk']
Pakistan,Sindh Agricultural University,PK,['http://www.sau.edu.pk/'],Sindh,['sau.edu.pk']
Pakistan,Sir Syed Institute Of Technology Islamabad,PK,['http://www.ssms.edu.pk/'],Panjab,['ssms.edu.pk']
Pakistan,Sir Syed University of Engineering and Technology,PK,['http://www.ssuet.edu.pk/'],,['ssuet.edu.pk']
Pakistan,"Sarhad University of Science & Information Technology, Peshawar",PK,['http://www.suit.edu.pk/'],,['suit.edu.pk']
Pakistan,The Superior College,PK,['http://www.superior.edu.pk/'],,['superior.edu.pk']
Pakistan,Shaheed Zulifkar Ali Bhutto Institute of Science and Technology,PK,['http://www.szabist.edu.pk/'],,['szabist.edu.pk']
Pakistan,Textile Institute of Pakistan,PK,['http://www.tip.edu.pk/'],,['tip.edu.pk']
Pakistan,University of Faisalabad,PK,['http://www.tuf.edu.pk/'],,['tuf.edu.pk']
Pakistan,Arid Agriculture University,PK,['http://www.uaar.edu.pk/'],Panjab,['uaar.edu.pk']
Pakistan,University of Agriculture Faisalabad,PK,['http://www.uaf.edu.pk/'],,['uaf.edu.pk']
Pakistan,University of Central Punjab,PK,['http://www.ucp.edu.pk/'],,['ucp.edu.pk']
Pakistan,University of Education,PK,['http://www.ue.edu.pk/'],,['ue.edu.pk']
Pakistan,University of Engineering and Technology Lahore,PK,['http://www.uet.edu/'],,['uet.edu']
Pakistan,University of Engineering and Technology Taxila,PK,['http://www.uettaxila.edu.pk/'],,['uettaxila.edu.pk']
Pakistan,University of Munawwar-ul-Islam,PK,['http://www.umi.edu.pk/'],,['umi.edu.pk']
Pakistan,University of Management and Technology,PK,['http://www.umt.edu.pk/'],,['umt.edu.pk']
Pakistan,University of NorthWest,PK,['http://www.unw.edu.pk/'],,['unw.edu.pk']
Pakistan,University of East,PK,['http://www.uoe.edu.pk/'],,['uoe.edu.pk']
Pakistan,University of Gujrat,PK,['http://www.uog.edu.pk/'],Panjab,['uog.edu.pk']
Pakistan,University of Karachi,PK,['http://www.uok.edu.pk/'],Sindh,['uok.edu.pk']
Pakistan,University of Lahore,PK,['http://www.uol.edu.pk/'],Panjab,['uol.edu.pk']
Pakistan,University of Malakand,PK,['http://www.uom.edu.pk/'],Khyber Pakhtunkhwa,['uom.edu.pk']
Pakistan,University of Sargodha,PK,['http://www.uos.edu.pk/'],Panjab,['uos.edu.pk']
Pakistan,University of Peshawar,PK,['http://www.upesh.edu/'],Khyber Pakhtunkhwa,['upesh.edu']
Pakistan,University of South Asia,PK,['http://www.usa.edu.pk/'],,['usa.edu.pk']
Pakistan,University of Sindh,PK,['http://www.usindh.edu.pk/'],Sindh,['usindh.edu.pk']
Pakistan,University of Science & Technology Bannu,PK,['http://www.ustb.edu.pk/'],,['ustb.edu.pk']
Pakistan,University of Veterinary & Animal Science,PK,['http://www.uvas.edu.pk/'],Panjab,['uvas.edu.pk']
Pakistan,University of Wah,PK,['http://www.uw.edu.pk/'],,['uw.edu.pk']
Pakistan,Virtual University of Pakistan,PK,['http://www.vu.edu.pk/'],Panjab,['vu.edu.pk']
Pakistan,Wah Medical College,PK,['http://www.wahmedicalcollege.edu.pk/'],Panjab,['wahmedicalcollege.edu.pk']
Pakistan,Zawiya Academy,PK,['http://www.zawiya.edu.pk/'],Panjab,['zawiya.edu.pk']
Pakistan,"Muhammad Nawaz Sharif University of Engineering and Technology, Multan",PK,['https://mnsuet.edu.pk'],,['mnsuet.edu.pk']
Pakistan,University of Sufism and Modern Sciences,PK,['https://usms.edu.pk/'],Sindh,['usms.edu.pk']
Pakistan,City University of Science and Information Technology,PK,['https://cusit.edu.pk/'],KP,"['cusit.edu.pk', 'cityuniversity.edu.pk', 'cup.edu.pk']"
